SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-19-2021,Single Family Residential,17605 Lance Leaf Ct,Wildwood,MO,63005,745000,5,4.5,Wildhorse Village J Three,4862,36155,1993,,153,67,Sold,,,https://www.redfin.com/MO/Wildwood/17605-Lance-Leaf-Ct-63005/home/93484883,MARIS,20084860,N,Y,38.6383022,-90.646295
PAST SALE,July-23-2020,Single Family Residential,344 Wild Horse Canyon Dr,Wildwood,MO,63005,775000,4,3.5,Wild Horse Canyon,3409,152460,1993,,227,,Sold,,,https://www.redfin.com/MO/Wildwood/344-Wild-Horse-Canyon-Dr-63005/home/62693441,MARIS,20043059,N,Y,38.6409893,-90.6640013
PAST SALE,May-27-2022,Single Family Residential,418 Pine Bend Dr,Wildwood,MO,63005,949500,5,4.5,Pine Creek,4859,26136,1996,,195,,Sold,,,https://www.redfin.com/MO/Wildwood/418-Pine-Bend-Dr-63005/home/93485921,MARIS,22010237,N,Y,38.638589,-90.6537026
PAST SALE,July-31-2019,Single Family Residential,478 Pine Bnd,Wildwood,MO,63005,849000,4,3.5,Pine Creek,3816,46609,1996,,222,31,Sold,,,https://www.redfin.com/MO/Wildwood/478-Pine-Bend-Dr-63005/home/62724457,MARIS,19046717,N,Y,38.6430771,-90.6569623
PAST SALE,June-24-2019,Single Family Residential,1013 Savonne Ct,Chesterfield,MO,63005,919000,4,5.0,Miramonte,5580,43996,2005,,165,,Sold,,,https://www.redfin.com/MO/Chesterfield/1013-Savonne-Ct-63005/home/62733969,MARIS,19048475,N,Y,38.6502044,-90.6422215
PAST SALE,July-27-2020,Single Family Residential,16667 Annas Way,Chesterfield,MO,63005,1000000,5,6.0,Summit At Wildhorse The,6733,84506,1996,,149,,Sold,,,https://www.redfin.com/MO/Wildwood/16667-Annas-Way-63005/home/62724775,MARIS,20043043,N,Y,38.635939,-90.6439249
PAST SALE,August-24-2021,Single Family Residential,462 Pine Bend Dr,Wildwood,MO,63005,1000000,4,4.5,Pine Creek,4194,48352,1997,,238,,Sold,,,https://www.redfin.com/MO/Wildwood/462-Pine-Bend-Dr-63005/home/93485930,MARIS,21042915,N,Y,38.6415246,-90.6562214
PAST SALE,February-21-2023,Single Family Residential,18251 Canyon Forest Ct,Chesterfield,MO,63005,1850000,4,4.5,Estates At Wildhorse Canyon,6386,67387,2008,,290,183,Sold,,,https://www.redfin.com/MO/Chesterfield/18251-Canyon-Forest-Ct-63005/home/93327513,MARIS,23001862,N,Y,38.6473041,-90.6628898
PAST SALE,June-24-2020,Single Family Residential,16696 Annas Way,Wildwood,MO,63005,950000,5,5.0,The Summit At Wildhorse,4538,95832,1994,,209,117,Sold,,,https://www.redfin.com/MO/Wildwood/16696-Annas-Way-63005/home/93484944,MARIS,20033378,N,Y,38.6377433,-90.6436287
PAST SALE,August-16-2021,Single Family Residential,328 Wild Horse Canyon Dr,Wildwood,MO,63005,749900,5,4.5,Wild Horse Canyon,5073,131551,2005,,148,100,Sold,,,https://www.redfin.com/MO/Wildwood/328-Wild-Horse-Canyon-Dr-63005/home/93485972,MARIS,21042207,N,Y,38.640159,-90.665928
PAST SALE,November-4-2022,Single Family Residential,328 Pine Bend Dr,Wildwood,MO,63005,975000,5,4.5,Pine Creek,5610,23958,1999,,174,42,Sold,,,https://www.redfin.com/MO/Wildwood/328-Pine-Bend-Dr-63005/home/93485615,MARIS,22058571,N,Y,38.6443963,-90.6554806
PAST SALE,August-6-2019,Single Family Residential,18105 Big Pine Ct,Wildwood,MO,63005,929000,5,4.5,Pine Creek,5477,25265,2000,,170,42,Sold,,,https://www.redfin.com/MO/Wildwood/18105-Big-Pine-Ct-63005/home/93486009,MARIS,19045903,N,Y,38.6398163,-90.6539989
PAST SALE,September-1-2021,Single Family Residential,348 Pine Bend Dr,Wildwood,MO,63005,924900,5,4.5,Pine Creek,5566,24829,1998,,166,42,Sold,,,https://www.redfin.com/MO/Wildwood/348-Pine-Bend-Dr-63005/home/62754735,MARIS,21041845,N,Y,38.6426787,-90.654962
